Date;Positive;Negative
2017. december 19.;0.18973561430793157;0.05132192846034215
2017. december 5.;0.2857142857142857;0.0
2017. november 21.;0.16984402079722705;0.05199306759098787
2017. november 7.;0.2857142857142857;0.0
2017. október 24.;0.15819209039548024;0.06591337099811675
2017. október 3.;0.2857142857142857;0.0
2017. szeptember 19.;0.15711645101663585;0.07578558225508318
2017. szeptember 5.;0.2857142857142857;0.0
2017. augusztus 22.;0.17412935323383086;0.06135986733001658
2017. augusztus 1.;0.2857142857142857;0.0
2017. július 18.;0.18010291595197256;0.06174957118353345
2017. július 4.;0.2857142857142857;0.0
2017. június 20.;0.19500780031201248;0.06396255850234009
2017. június 6.;0.2857142857142857;0.0
2017. május 23.;0.2075812274368231;0.06498194945848375
2017. május 9.;0.2857142857142857;0.0
2017. április 25.;0.20793950850661624;0.062381852551984876
2017. április 11.;0.2857142857142857;0.0
2017. március 28.;0.20877192982456141;0.05263157894736842
2017. március 14.;0.2857142857142857;0.0
2017. február 28.;0.18972332015810275;0.0533596837944664
2017. február 7.;0.2857142857142857;0.0
2017. január 24.;0.1865079365079365;0.06349206349206349
2017. január 10.;0.2857142857142857;0.0
2018. december 18.;0.16639209225700163;0.039538714991762765
2018. december 4.;0.2857142857142857;0.0
2018. november 20.;0.1378026070763501;0.0595903165735568
2018. november 6.;0.2857142857142857;0.0
2018. október 16.;0.1557377049180328;0.05737704918032787
2018. október 2.;0.2857142857142857;0.0
2018. szeptember 18.;0.15217391304347827;0.05217391304347826
2018. szeptember 4.;0.2857142857142857;0.0
2018. augusztus 21.;0.1757188498402556;0.07348242811501597
2018. augusztus 7.;0.2857142857142857;0.0
2018. július 24.;0.18009478672985782;0.07424960505529225
2018. július 3.;0.2857142857142857;0.0
2018. június 19.;0.19011815252416756;0.06981740064446831
2018. június 5.;0.2857142857142857;0.0
2018. május 22.;0.19911504424778761;0.05604719764011799
2018. május 8.;0.2857142857142857;0.0
2018. április 24.;0.18995290423861852;0.05180533751962323
2018. április 10.;0.2857142857142857;0.0
2018. március 27.;0.19736842105263158;0.05098684210526316
2018. március 13.;0.2857142857142857;0.0
2018. február 27.;0.20588235294117646;0.049019607843137254
2018. február 13.;0.2857142857142857;0.0
2018. január 30.;0.21352313167259787;0.05516014234875445
2018. január 9.;0.2857142857142857;0.0
2019. december 17.;0.19756838905775076;0.05167173252279635
2019. december 3.;0.2857142857142857;0.0
2019. november 19.;0.15562913907284767;0.06788079470198675
2019. november 5.;0.2857142857142857;0.0
2019. október 22.;0.14833333333333334;0.07333333333333333
2019. október 8.;0.2857142857142857;0.0
2019. szeptember 24.;0.13836477987421383;0.06761006289308176
2019. szeptember 10.;0.2857142857142857;0.0
2019. augusztus 27.;0.15384615384615385;0.05874125874125874
2019. augusztus 6.;0.2857142857142857;0.0
2019. július 23.;0.14970930232558138;0.05377906976744186
2019. július 9.;0.2857142857142857;0.0
2019. június 25.;0.15765765765765766;0.04804804804804805
2019. június 11.;0.2857142857142857;0.0
2019. május 28.;0.16267942583732056;0.05741626794258373
2019. május 14.;0.2857142857142857;0.0
2019. április 30.;0.17257683215130024;0.061465721040189124
2019. április 9.;0.2857142857142857;0.0
2019. március 26.;0.17567567567567569;0.0637065637065637
2019. március 12.;0.2857142857142857;0.0
2019. február 26.;0.1672185430463576;0.0380794701986755
2019. február 12.;0.2857142857142857;0.0
2019. január 29.;0.16101694915254236;0.04745762711864407
2019. január 15.;0.2857142857142857;0.0
2020. december 15.;0.15328467153284672;0.0705596107055961
2020. december 1.;0.2857142857142857;0.0
2020. november 17.;0.1653179190751445;0.07167630057803469
2020. november 3.;0.2857142857142857;0.0
2020. október 20.;0.15118110236220472;0.07086614173228346
2020. október 6.;0.2857142857142857;0.0
2020. szeptember 22.;0.16639209225700163;0.06589785831960461
2020. szeptember 8.;0.2857142857142857;0.0
2020. augusztus 25.;0.1598240469208211;0.060117302052785926
2020. augusztus 4.;0.2857142857142857;0.0
2020. július 21.;0.16045845272206305;0.055873925501432664
2020. július 7.;0.2857142857142857;0.0
2020. június 23.;0.172859450726979;0.05654281098546042
2020. június 9.;0.2857142857142857;0.0
2020. május 26.;0.164576802507837;0.061128526645768025
2020. május 12.;0.2857142857142857;0.0
2020. április 28.;0.14552736982643524;0.06275033377837116
2020. április 7.;0.15356489945155394;0.021937842778793418
2020. március 24.;0.1630558722919042;0.07411630558722919
2020. március 10.;0.2857142857142857;0.0
2020. február 25.;0.19387755102040816;0.05539358600583091
2020. február 11.;0.2857142857142857;0.0
2020. január 28.;0.195906432748538;0.05847953216374269
2020. január 14.;0.2857142857142857;0.0
2021. december 14.;0.15175879396984926;0.08341708542713568
2021. november 30.;0.19090909090909092;0.05454545454545454
2021. november 16.;0.1383248730964467;0.09898477157360407
2021. november 2.;0.2857142857142857;0.0
2021. október 19.;0.12777053455019557;0.07170795306388526
2021. október 5.;0.2857142857142857;0.0
2021. szeptember 21.;0.1299638989169675;0.07099879663056559
2021. szeptember 7.;0.2857142857142857;0.0
2021. augusztus 24.;0.13696808510638298;0.057180851063829786
2021. augusztus 10.;0.2857142857142857;0.0
2021. július 27.;0.14661134163208853;0.07330567081604426
2021. július 6.;0.2857142857142857;0.0
2021. június 22.;0.15706806282722513;0.0824607329842932
2021. június 8.;0.2857142857142857;0.0
2021. május 25.;0.15170670037926676;0.07079646017699115
2021. május 11.;0.2857142857142857;0.0
2021. április 27.;0.16808510638297872;0.06595744680851064
2021. április 6.;0.2857142857142857;0.0
2021. március 23.;0.16967509025270758;0.06498194945848375
2021. március 9.;0.2857142857142857;0.0
2021. február 23.;0.16430260047281323;0.06501182033096926
2021. február 9.;0.2857142857142857;0.0
2021. január 26.;0.15897435897435896;0.06358974358974359
2021. január 12.;0.2857142857142857;0.0
2022. december 20.;0.16569767441860464;0.10465116279069768
2022. december 6.;0.2857142857142857;0.0
2022. november 22.;0.15295815295815296;0.07936507936507936
2022. november 8.;0.2857142857142857;0.0
2022. október 25.;0.1569767441860465;0.09738372093023256
2022. október 14.;0.16666666666666666;0.057971014492753624
2022. szeptember 27.;0.13793103448275862;0.10488505747126436
2022. szeptember 13.;0.2857142857142857;0.0
2022. augusztus 30.;0.15338345864661654;0.09924812030075188
2022. augusztus 9.;0.2857142857142857;0.0
2022. július 26.;0.15331491712707182;0.10497237569060773
2022. július 12.;0.20512820512820512;0.13553113553113552
2022. június 28.;0.1597222222222222;0.10972222222222222
2022. június 14.;0.2857142857142857;0.0
2022. május 31.;0.1548872180451128;0.10977443609022557
2022. május 10.;0.2857142857142857;0.0
2022. április 26.;0.13892529488859764;0.11009174311926606
2022. április 5.;0.2857142857142857;0.0
2022. március 22.;0.12717391304347825;0.125
2022. március 8.;0.23529411764705882;0.06862745098039216
2022. február 22.;0.13768961493582263;0.08518086347724621
2022. február 8.;0.2857142857142857;0.0
2022. január 25.;0.14285714285714285;0.08886389201349831
2022. január 11.;0.2857142857142857;0.0
2023. július 25.;0.14601769911504425;0.07374631268436578
2023. június 20.;0.14580467675378267;0.07702888583218707
2023. május 23.;0.1650943396226415;0.07389937106918239
2023. április 25.;0.15870307167235495;0.08703071672354949
2023. március 28.;0.1644535240040858;0.08682328907048008
2023. február 28.;0.1713520749665328;0.07228915662650602
2023. január 24.;0.16291161178509533;0.08838821490467938
